dataset	kc_size	projection_size	trial	top	wta	mean	std
wos11967	4707	9	0	70	11	0.412836438923395	0
wos11967	4796	5	0	19	10	0.652173913043478	0
wos11967	4703	9	0	57	4	0.573913043478261	0
wos11967	4708	4	0	58	19	0.665010351966874	0
wos11967	4599	4	0	17	10	0.654658385093168	0
wos11967	4788	4	1	21	4	0.672049689440994	0
wos11967	4790	10	0	12	7	0.573498964803313	0
wos11967	4709	5	1	85	5	0.648447204968944	0
wos11967	4685	5	0	70	9	0.673291925465839	0
wos11967	4371	7	0	38	8	0.613250517598344	0
wos11967	4797	4	0	32	3	0.655486542443064	0
wos11967	4785	4	0	33	3	0.670393374741201	0
wos11967	4558	4	0	26	12	0.666252587991718	0
wos11967	4553	6	0	30	3	0.629813664596273	0
wos11967	4566	8	0	32	19	0.537060041407867	0
wos11967	4722	5	0	60	17	0.648447204968944	0
wos11967	4547	5	0	20	9	0.637267080745342	0
wos11967	4723	6	0	73	18	0.643892339544513	0
wos11967	4714	4	0	51	13	0.651345755693582	0
wos11967	4791	4	0	43	5	0.679089026915114	0
wos11967	4801	5	0	55	7	0.644306418219462	0
wos11967	4791	6	0	46	15	0.620703933747412	0
wos11967	4723	6	1	57	4	0.62360248447205	0
wos11967	3665	7	0	79	9	0.610766045548654	0
wos11967	4370	5	0	55	20	0.647204968944099	0
wos11967	4003	4	0	18	18	0.643892339544513	0
wos11967	4006	4	1	21	4	0.637267080745342	0
wos11967	3677	4	0	91	15	0.629813664596273	0
wos11967	4317	7	0	36	17	0.394616977225673	0
wos11967	3992	4	0	29	5	0.643478260869565	0
wos11967	3990	6	0	15	11	0.636438923395445	0
wos11967	4058	8	0	79	5	0.597929606625259	0
wos11967	4949	9	0	100	17	0.412422360248447	0
wos11967	4554	4	0	15	19	0.667080745341615	0
wos11967	4033	4	0	90	5	0.640165631469979	0
wos11967	4562	7	0	11	16	0.63064182194617	0
wos11967	4543	8	0	24	19	0.53871635610766	0
wos11967	4577	4	0	19	4	0.662111801242236	0
wos11967	4800	9	0	41	2	0.402070393374741	0
wos11967	4781	8	0	45	8	0.501863354037267	0
wos11967	3999	10	0	24	16	0.522981366459627	0
wos11967	4607	6	0	25	20	0.626086956521739	0
wos11967	4007	8	1	11	13	0.602898550724638	0
wos11967	4040	10	0	82	3	0.459213250517598	0
wos11967	4615	6	0	11	12	0.628985507246377	0
wos11967	4691	6	0	64	4	0.646376811594203	0
wos11967	4361	6	0	50	17	0.623188405797101	0
wos11967	4584	5	0	30	5	0.636438923395445	0
wos11967	4571	5	0	29	5	0.652587991718427	0
wos11967	4039	6	0	99	8	0.611180124223602	0
wos11967	4562	7	1	23	3	0.613250517598344	0
wos11967	4960	6	0	83	19	0.639751552795031	0
wos11967	3983	4	0	26	13	0.63064182194617	0
wos11967	4594	4	0	31	15	0.636438923395445	0
wos11967	4026	5	0	100	7	0.642236024844721	0
wos11967	4052	7	0	68	18	0.610766045548654	0
wos11967	3987	8	0	39	17	0.617391304347826	0
wos11967	4056	4	0	98	8	0.648447204968944	0
wos11967	4715	4	0	82	20	0.664182194616977	0
wos11967	4674	4	0	51	11	0.66128364389234	0
wos11967	4666	10	0	45	19	0.493581780538302	0
wos11967	4677	8	0	43	5	0.612836438923395	0
wos11967	4019	4	0	28	6	0.65175983436853	0
wos11967	4019	5	0	92	16	0.653002070393375	0
wos11967	4020	4	0	90	3	0.669979296066253	0
wos11967	4005	5	0	97	5	0.638509316770186	0
wos11967	4010	4	0	51	7	0.64472049689441	0
wos11967	4819	4	0	14	2	0.650931677018634	0
wos11967	4022	4	0	42	13	0.634368530020704	0
wos11967	4025	7	0	28	18	0.605383022774327	0
wos11967	4012	4	0	38	2	0.632298136645963	0
wos11967	3711	8	0	88	11	0.434368530020704	0
wos11967	4830	6	0	20	2	0.622774327122153	0
wos11967	4715	4	1	67	20	0.676604554865425	0
wos11967	4648	4	0	10	2	0.651345755693582	0
wos11967	3998	9	0	53	9	0.613250517598344	0
wos11967	4966	5	0	95	18	0.647619047619048	0
wos11967	4006	5	0	94	17	0.653416149068323	0
wos11967	4807	5	0	66	4	0.645962732919255	0
wos11967	4797	4	1	66	18	0.662939958592133	0
wos11967	4793	4	0	75	11	0.67287784679089	0
wos11967	4802	4	0	82	13	0.683229813664596	0
wos11967	4796	9	0	86	19	0.484886128364389	0
wos11967	4802	5	0	80	6	0.634368530020704	0
wos11967	4809	8	0	77	15	0.627329192546584	0
wos11967	4797	4	2	69	4	0.657142857142857	0
wos11967	4788	4	2	64	10	0.66128364389234	0
wos11967	4013	9	0	97	6	0.47991718426501	0
wos11967	4803	9	0	67	12	0.516356107660455	0
wos11967	3997	10	0	88	11	0.533333333333333	0
wos11967	4791	9	0	59	18	0.481573498964803	0
wos11967	4816	6	0	60	5	0.655072463768116	0
wos11967	4786	5	0	69	3	0.648861283643892	0
wos11967	4809	7	0	87	9	0.632712215320911	0
wos11967	4643	6	0	19	2	0.614906832298137	0
wos11967	4023	4	0	84	7	0.626086956521739	0
wos11967	4023	8	0	14	5	0.612422360248447	0
wos11967	4676	7	1	58	5	0.551966873706004	0
wos11967	4819	4	1	70	6	0.656314699792961	0
wos11967	4555	9	0	17	12	0.58343685300207	0
wos11967	4684	5	0	51	16	0.653002070393375	0
wos11967	4572	6	0	14	11	0.636853002070393	0
wos11967	4784	4	0	72	15	0.658385093167702	0
wos11967	4820	4	0	81	12	0.669565217391304	0
wos11967	4824	5	0	81	2	0.645962732919255	0
wos11967	4825	10	0	82	19	0.433126293995859	0
wos11967	4651	5	0	11	15	0.632298136645963	0
wos11967	4010	4	1	85	18	0.635610766045549	0
wos11967	4829	4	0	61	9	0.663354037267081	0
wos11967	4823	4	0	63	16	0.659213250517598	0
wos11967	4826	10	0	51	6	0.441821946169772	0
wos11967	4048	5	0	66	6	0.653002070393375	0
wos11967	4834	6	0	73	5	0.64472049689441	0
wos11967	4813	6	0	80	5	0.414906832298137	0
wos11967	4790	5	0	28	4	0.648033126293996	0
wos11967	4792	4	0	78	3	0.661697722567288	0
wos11967	4827	9	0	70	6	0.469151138716356	0
wos11967	4597	8	0	23	14	0.626501035196687	0
wos11967	4586	5	0	25	12	0.662525879917184	0
wos11967	4371	10	0	46	20	0.591304347826087	0
wos11967	4645	10	1	10	8	0.456314699792961	0
wos11967	4715	10	0	58	13	0.445548654244306	0
wos11967	4790	4	0	34	7	0.676190476190476	0
wos11967	4594	4	1	10	2	0.642650103519669	0
wos11967	4792	4	1	69	15	0.669565217391304	0
wos11967	4705	4	0	85	13	0.664596273291926	0
wos11967	4027	8	0	96	17	0.61407867494824	0
wos11967	4589	4	0	17	16	0.667908902691511	0
wos11967	4610	9	0	14	19	0.421532091097309	0
